,Year,HSKAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,6.74,4.33,4.78,2.41,1.96,1.95,274.0,25.0
1,2007,-0.93,6.97,2.03,-7.89,-2.96,1.95,396.0,51.0
2,2008,9.79,5.24,-0.33,4.55,10.11,1.96,796.0,3.0
3,2009,-4.64,5.93,-1.18,-10.57,-3.46,1.95,638.0,62.0
4,2010,-3.9,6.54,-2.0,-10.44,-1.91,1.92,1017.0,66.0
5,2011,-2.53,7.84,-0.3,-10.37,-2.23,1.94,673.0,69.0
6,2012,1.37,4.21,0.18,-2.85,1.19,1.94,916.0,37.0
7,2013,-3.64,-2.02,2.92,-1.62,-6.56,1.94,527.0,96.0
8,YTD,2.38,5.87,0.85,-3.49,1.53,1.53,1.53,28.0
