,Year,SMTAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,0.43,6.0,6.0
1,2007,6.09,8.63,6.21,-2.54,-0.12,0.44,25.0,64.0
2,2008,-34.82,-22.19,-37.94,-12.62,3.12,0.44,36.0,6.0
3,2009,33.33,21.77,30.9,11.56,2.43,0.44,52.0,28.0
4,2010,16.58,12.33,14.37,4.25,2.21,0.3,28.0,8.0
5,2011,-5.04,0.59,-3.49,-5.63,-1.55,0.29,13.0,76.0
6,2012,17.94,12.04,14.64,5.9,3.3,0.29,14.0,1.0
7,2013,22.77,14.31,19.97,8.47,2.8,0.29,22.0,42.0
8,YTD,8.55,5.81,6.5,2.74,2.05,0.29,9.0,4.0
