,Year,FEHPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,7.84,14.31,8.3,-6.47,-0.46,0.06,1.0,61.0
1,YTD,5.09,5.81,4.98,-0.72,0.11,0.06,44.0,46.0
