,Year,RRNAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,-0.4,4.33,0.09,-4.73,-0.49,0.9,223.0,76.0
1,2007,8.86,6.97,9.86,1.9,-1.0,0.9,154.0,84.0
2,2008,-5.33,5.24,-4.08,-10.57,-1.25,0.9,494.0,81.0
3,2009,9.92,5.93,10.88,3.99,-0.96,0.91,335.0,55.0
4,2010,5.47,6.54,5.94,-1.07,-0.47,0.85,24.0,68.0
5,2011,13.12,7.84,10.93,5.28,2.19,0.75,48.0,14.0
6,2012,6.23,4.21,6.45,2.02,-0.22,0.75,86.0,57.0
7,2013,-9.21,-2.02,-7.85,-7.18,-1.35,0.75,42.0,71.0
8,YTD,3.74,5.87,3.23,-2.13,0.51,0.75,60.0,47.0
