,Year,PGMAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,19.16,21.77,24.37,-2.61,-5.21,1.12,83.0,75.0
1,2010,11.75,12.33,10.58,-0.58,1.17,1.29,217.0,45.0
2,2011,-1.7,0.59,-3.99,-2.3,2.29,1.14,71.0,35.0
3,2012,8.91,12.04,10.74,-3.14,-1.83,1.12,94.0,76.0
4,2013,-8.89,14.31,10.07,-23.2,-18.96,1.12,223.0,98.0
5,YTD,8.82,5.81,3.26,3.02,5.56,1.09,94.0,5.0
