,Year,PONAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-5.95,5.24,-15.41,-11.19,9.47,0.85,276.0,7.0
1,2009,18.64,5.93,29.22,12.71,-10.58,0.85,153.0,84.0
2,2010,19.96,6.54,10.86,13.42,9.1,0.85,188.0,1.0
3,2011,5.95,7.84,3.37,-1.89,2.58,0.85,181.0,10.0
4,2012,21.71,4.21,11.71,17.49,10.0,0.8,311.0,2.0
5,2013,4.43,-2.02,1.87,6.45,2.56,0.84,226.0,20.0
6,YTD,8.1,5.87,4.67,2.24,3.44,0.85,251.0,8.0
