,Year,BAMPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,9.36,8.63,5.99,0.73,3.37,0.41,11.0,11.0
1,2008,-27.68,-22.19,-28.0,-5.49,0.32,0.48,34.0,34.0
2,2009,25.7,21.77,24.13,3.92,1.56,0.48,62.0,62.0
3,2010,13.2,12.33,11.83,0.86,1.36,0.48,50.0,50.0
4,2011,-0.77,0.59,-0.11,-1.37,-0.66,0.69,147.0,147.0
5,2012,12.67,12.04,11.72,0.63,0.95,0.74,57.0,57.0
6,2013,18.23,14.31,16.48,3.92,1.75,0.62,51.0,51.0
7,YTD,6.69,5.81,6.95,0.89,-0.26,0.6,60.0,53.0
