,Year,JPHAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.95,1.0,1.0
1,2012,8.84,4.21,9.43,4.63,-0.59,0.97,65.0,54.0
2,2013,5.51,-2.02,5.68,7.53,-0.17,0.97,42.0,38.0
3,YTD,1.52,5.87,1.88,-4.35,-0.36,0.98,61.0,71.0
