,Year,FMMLX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,31.7,32.39,31.21,-0.69,0.49,0.77,48.0,45.0
1,YTD,13.46,13.98,10.25,-0.52,3.21,0.78,61.0,8.0
