,Year,VFSNX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,,,,,,0.52,19.0,19.0
1,2010,25.3,11.15,21.01,14.14,4.28,0.3,19.0,16.0
2,2011,-18.9,-13.71,-14.41,-5.19,-4.48,0.25,37.0,78.0
3,2012,19.14,16.83,18.99,2.31,0.15,0.24,18.0,57.0
4,2013,17.72,15.29,25.35,2.43,-7.64,0.19,19.0,80.0
5,YTD,-3.2,-0.27,-3.67,-2.93,0.47,0.47,0.47,35.0
