,Year,ASTEX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,1.9,2.38,1.61,-0.48,0.29,0.53,5.0,34.0
1,2011,2.62,10.7,3.6,-8.08,-0.98,0.6,12.0,66.0
2,2012,1.63,6.78,1.92,-5.15,-0.29,0.59,14.0,53.0
3,2013,0.41,-2.55,-0.07,2.97,0.49,0.59,22.0,37.0
4,YTD,1.15,8.5,1.6,-7.35,-0.45,0.58,20.0,60.0
