,Year,BBUSX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,0.38,-2.02,0.49,2.41,-0.11,0.36,91.0,54.0
1,YTD,0.32,5.87,0.49,-5.54,-0.17,0.1,129.0,66.0
