,Year,RLCAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,1.28,6.0,6.0
1,2009,20.26,26.46,24.13,-6.21,-3.87,1.26,63.0,64.0
2,2010,17.53,15.06,13.66,2.46,3.87,1.19,99.0,11.0
3,2011,2.83,2.11,-0.75,0.72,3.58,1.14,90.0,23.0
4,2012,16.3,16.0,14.57,0.3,1.74,1.11,73.0,31.0
5,2013,33.36,32.39,31.21,0.98,2.15,1.16,103.0,31.0
6,YTD,14.93,13.98,10.25,0.96,4.68,1.18,90.0,4.0
