,Year,BAPBX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.49,37.0,37.0
1,2008,-25.82,-22.19,-27.76,-3.63,1.94,0.46,52.0,29.0
2,2009,25.3,21.77,23.55,3.53,1.76,0.5,57.0,50.0
3,2010,13.03,12.33,11.5,0.7,1.53,0.47,98.0,19.0
4,2011,0.0,0.59,-0.27,-0.59,0.27,0.65,112.0,43.0
5,2012,12.47,12.04,10.65,0.43,1.83,0.73,87.0,17.0
6,2013,10.53,14.31,9.65,-3.78,0.88,0.56,97.0,46.0
7,YTD,5.02,5.81,5.38,-0.78,-0.36,-0.36,-0.36,57.0
