,Year,FDASX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.65,15.0,15.0
1,2008,-28.59,-22.19,-28.98,-6.39,0.4,0.65,71.0,52.0
2,2009,28.6,21.77,24.37,6.83,4.23,0.65,53.0,21.0
3,2010,14.64,12.33,10.58,2.31,4.06,0.65,102.0,9.0
4,2011,-5.54,0.59,-3.99,-6.14,-1.55,0.64,200.0,59.0
5,2012,12.11,12.04,10.74,0.07,1.37,0.64,136.0,37.0
6,2013,8.72,14.31,10.07,-5.59,-1.35,0.64,156.0,96.0
7,YTD,4.09,5.81,3.26,-1.72,0.83,0.64,106.0,39.0
