,Year,FSGEX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,,,,,,0.25,0.25,0.25
1,2010,10.87,11.15,10.24,-0.28,0.63,0.18,8.0,43.0
2,2011,-14.1,-13.71,-13.97,-0.4,-0.14,0.24,17.0,53.0
3,2012,18.02,16.83,18.29,1.19,-0.27,0.2,1.0,53.0
4,2013,14.22,15.29,19.44,-1.07,-5.22,0.2,1.0,88.0
5,YTD,-0.57,-0.27,-1.63,-0.3,1.06,1.06,1.06,31.0
