,Year,CCMAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,-4.94,2.11,-2.46,-7.05,-2.47,1.6,214.0,68.0
1,2012,21.67,16.0,15.34,5.67,6.33,1.5,146.0,2.0
2,2013,34.72,32.39,33.92,2.33,0.8,1.32,147.0,41.0
3,YTD,6.54,13.98,10.79,-7.43,-4.24,1.28,119.0,89.0
