,Year,MKLVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.63,108.0,108.0
1,2009,14.88,26.46,24.13,-11.59,-9.25,0.63,151.0,92.0
2,2010,11.04,15.06,13.66,-4.02,-2.62,0.67,183.0,83.0
3,2011,-2.3,2.11,-0.75,-4.42,-1.56,0.67,156.0,61.0
4,2012,13.07,16.0,14.57,-2.93,-1.49,0.62,147.0,71.0
5,2013,33.42,32.39,31.21,1.04,2.21,0.67,40.0,31.0
6,YTD,10.82,13.98,10.25,-3.16,0.57,0.67,32.0,45.0
