,Year,JNSAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-31.49,-22.19,-34.15,-9.3,2.67,0.44,33.0,26.0
1,2009,31.03,21.77,28.32,9.26,2.71,0.44,51.0,32.0
2,2010,15.43,12.33,13.29,3.1,2.15,0.3,28.0,2.0
3,2011,-2.65,0.59,-2.06,-3.24,-0.59,0.29,13.0,67.0
4,2012,15.83,12.04,13.03,3.79,2.81,0.29,13.0,2.0
5,2013,16.84,14.31,15.3,2.54,1.54,0.29,14.0,40.0
6,YTD,7.81,5.81,6.13,2.0,1.68,0.29,7.0,5.0
