,Year,FEMSX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,71.18,41.45,73.81,29.73,-2.63,1.09,109.0,56.0
1,2010,21.85,11.15,19.26,10.69,2.59,1.08,92.0,24.0
2,2011,-22.33,-13.71,-19.86,-8.62,-2.47,1.07,104.0,72.0
3,2012,21.79,16.83,18.15,4.96,3.65,1.07,80.0,19.0
4,2013,3.35,15.29,-0.14,-11.94,3.49,1.06,79.0,22.0
5,YTD,-0.06,-0.27,1.96,0.21,-2.02,-2.02,-2.02,75.0
