,Year,VSLPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,0.15,30.0,30.0
1,2007,5.15,5.49,6.16,-0.35,-1.01,0.15,54.0,56.0
2,2008,-37.62,-37.0,-37.79,-0.63,0.17,0.12,72.0,52.0
3,2009,23.11,26.46,28.17,-3.35,-5.06,0.17,80.0,78.0
4,2010,13.96,15.06,14.01,-1.1,-0.04,0.17,61.0,49.0
5,2011,5.66,2.11,-1.27,3.55,6.93,0.17,67.0,4.0
6,2012,17.82,16.0,14.96,1.82,2.86,0.17,64.0,13.0
7,2013,32.27,32.39,31.5,-0.12,0.77,0.17,62.0,43.0
8,YTD,16.0,13.98,11.28,2.02,4.72,0.17,68.0,3.0
