,Year,PFSSX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,,,,,,0.45,16.0,16.0
1,YTD,1.86,5.87,3.43,-4.0,-1.57,0.47,29.0,63.0
