,Year,AADTX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.35,1.0,1.0
1,2008,-34.75,-22.19,-34.15,-12.56,-0.6,0.25,1.0,49.0
2,2009,29.44,21.77,28.32,7.66,1.12,0.3,1.0,45.0
3,2010,12.24,12.33,13.29,-0.1,-1.05,0.38,3.0,81.0
4,2011,-1.31,0.59,-2.06,-1.9,0.75,0.37,3.0,34.0
5,2012,15.21,12.04,13.03,3.17,2.19,0.37,3.0,10.0
6,2013,23.33,14.31,15.3,9.02,8.03,0.36,2.0,2.0
7,YTD,7.63,5.81,6.13,1.83,1.51,1.51,1.51,9.0
