,Year,RPIIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.55,69.0,69.0
1,2008,1.26,5.24,-1.57,-3.98,2.83,0.55,94.0,39.0
2,2009,8.77,5.93,13.12,2.84,-4.36,0.55,69.0,71.0
3,2010,5.2,6.54,6.35,-1.35,-1.15,0.55,82.0,62.0
4,2011,1.94,7.84,3.39,-5.9,-1.46,0.55,50.0,76.0
5,2012,7.43,4.21,8.09,3.21,-0.66,0.55,62.0,47.0
6,2013,-3.52,-2.02,-2.62,-1.5,-0.91,0.55,83.0,61.0
7,YTD,-1.71,5.87,2.75,-7.58,-4.46,-4.46,-4.46,90.0
