,Year,CTOAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.08,0.08,0.08
1,2013,11.4,14.31,7.23,-2.91,4.17,0.45,0.45,15.0
2,YTD,6.73,5.81,4.98,0.93,1.75,1.75,1.75,16.0
