,Year,BAICX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,1.0,73.0,73.0
1,2009,25.11,21.77,20.3,3.33,4.81,0.8,32.0,16.0
2,2010,12.14,12.33,10.53,-0.19,1.61,0.8,12.0,33.0
3,2011,4.84,0.59,-3.36,4.25,8.21,0.8,11.0,8.0
4,2012,13.09,12.04,9.45,1.04,3.64,0.8,94.0,17.0
5,2013,9.07,14.31,8.62,-5.24,0.45,0.8,123.0,49.0
6,YTD,5.66,5.81,3.73,-0.15,1.93,0.8,146.0,30.0
