,Year,LPJAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,0.96,1.0,1.0
1,2011,-1.55,0.59,-3.51,-2.14,1.96,0.97,0.97,11.0
2,2012,13.63,12.04,14.64,1.58,-1.01,1.0,4.0,74.0
3,2013,15.08,14.31,20.0,0.77,-4.92,1.0,39.0,90.0
4,YTD,6.3,5.81,6.47,0.49,-0.17,-0.17,-0.17,59.0
