,Year,BDSTX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,0.01,-2.02,-0.79,2.03,0.8,0.11,0.11,11.0
1,YTD,0.05,5.87,1.2,-5.82,-1.15,0.07,33.0,93.0
