,Year,FIPDX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.05,54.0,54.0
1,2013,-8.63,-2.02,-7.85,-6.61,-0.78,0.05,39.0,41.0
2,YTD,4.93,5.87,3.23,-0.94,1.7,1.7,1.7,9.0
