,Year,BCRIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.35,0.35,0.35
1,2012,4.81,4.21,7.01,0.6,-2.19,0.34,2128.0,77.0
2,2013,-2.44,-2.02,-1.42,-0.42,-1.02,0.34,986.0,78.0
3,YTD,6.21,5.87,5.34,0.35,0.87,0.87,0.87,21.0
