,Year,JIMAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,4.92,7.84,10.93,-2.92,-6.0,0.73,69.0,93.0
1,2012,5.4,4.21,6.45,1.18,-1.05,0.74,36.0,80.0
2,2013,-2.99,-2.02,-7.85,-0.97,4.86,0.74,16.0,14.0
3,YTD,1.61,5.87,3.23,-4.25,-1.62,0.75,35.0,80.0
