,Year,FECPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,17.44,14.31,16.65,3.13,0.79,0.09,1.0,52.0
1,YTD,6.67,5.81,6.17,0.86,0.5,0.1,63.0,35.0
