,Year,FGHAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,16.62,4.21,14.67,12.4,1.95,1.25,36.0,20.0
1,2013,5.32,-2.02,6.9,7.35,-1.57,1.24,55.0,79.0
2,YTD,3.38,5.87,2.83,-2.49,0.55,1.23,72.0,37.0
