,Year,FTTAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,0.5,8.0,8.0
1,2007,11.32,8.63,6.89,2.69,4.44,0.47,24.0,2.0
2,2008,-37.46,-22.19,-38.11,-15.27,0.65,0.47,8.0,37.0
3,2009,36.53,21.77,30.88,14.76,5.65,0.45,14.0,7.0
4,2010,15.92,12.33,14.6,3.59,1.33,0.45,25.0,16.0
5,2011,-2.81,0.59,-4.1,-3.41,1.29,0.45,35.0,21.0
6,2012,10.61,12.04,15.31,-1.43,-4.7,0.45,32.0,97.0
7,2013,23.07,14.31,22.0,8.76,1.07,0.38,44.0,52.0
8,YTD,5.68,5.81,6.65,-0.12,-0.97,-0.97,-0.97,75.0
