,Year,AACTX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.37,0.37,0.37
1,2008,-32.46,-22.19,-29.46,-10.27,-3.0,0.28,1.0,54.0
2,2009,26.79,21.77,24.25,5.01,2.54,0.3,1.0,38.0
3,2010,10.84,12.33,12.27,-1.49,-1.43,0.39,8.0,80.0
4,2011,0.77,0.59,-0.22,0.17,0.98,0.38,7.0,30.0
5,2012,12.63,12.04,11.68,0.58,0.94,0.37,4.0,32.0
6,2013,18.26,14.31,11.57,3.95,6.69,0.37,3.0,2.0
7,YTD,7.58,5.81,5.64,1.77,1.93,1.93,1.93,2.0
