,Year,PTNAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.74,0.74,0.74
1,2009,22.56,21.77,18.36,0.79,4.2,0.87,186.0,60.0
2,2010,10.05,12.33,8.94,-2.29,1.11,0.98,10.0,67.0
3,2011,3.39,0.59,1.6,2.8,1.79,0.99,0.99,7.0
4,2012,9.09,12.04,9.01,-2.95,0.09,0.83,14.0,50.0
5,2013,0.35,14.31,7.36,-13.96,-7.01,0.73,74.0,94.0
6,YTD,6.25,5.81,5.03,0.45,1.22,0.65,26.0,19.0
