,Year,ATMAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,,,,,,1.1,1.1,1.1
1,2010,1.37,6.54,5.44,-5.17,-4.07,1.1,318.0,88.0
2,2011,-0.3,7.84,-1.29,-8.14,0.99,1.1,401.0,43.0
3,2012,7.0,4.21,7.5,2.79,-0.5,1.1,249.0,57.0
4,2013,-1.32,-2.02,0.29,0.7,-1.61,1.07,59.0,73.0
5,YTD,2.48,5.87,1.86,-3.38,0.62,1.1,76.0,34.0
