,Year,JLSAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,1.75,313.0,313.0
1,2011,-7.44,2.11,-2.81,-9.55,-4.62,1.75,255.0,86.0
2,2012,8.46,16.0,5.15,-7.55,3.31,1.75,159.0,31.0
3,2013,9.88,32.39,14.62,-22.5,-4.74,1.75,91.0,67.0
4,YTD,4.45,13.98,2.95,-9.53,1.5,1.5,1.5,38.0
