,Year,AAGTX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.35,1.0,1.0
1,2008,-35.62,-22.19,-37.94,-13.43,2.32,0.26,2.0,17.0
2,2009,31.63,21.77,30.9,9.86,0.73,0.3,1.0,43.0
3,2010,12.58,12.33,14.37,0.25,-1.79,0.38,2.0,84.0
4,2011,-2.59,0.59,-3.49,-3.18,0.9,0.37,1.0,20.0
5,2012,16.38,12.04,14.64,4.33,1.74,0.37,2.0,13.0
6,2013,26.14,14.31,19.97,11.83,6.16,0.36,2.0,3.0
7,YTD,8.21,5.81,6.5,2.4,1.71,1.71,1.71,10.0
