,Year,JASAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,-2.25,0.59,-2.79,-2.84,0.54,0.67,73.0,43.0
1,2012,4.33,12.04,3.87,-7.72,0.46,0.82,71.0,50.0
2,2013,1.22,14.31,4.16,-13.09,-2.94,0.94,139.0,71.0
3,YTD,2.57,5.81,2.17,-3.23,0.4,0.4,93.0,55.0
