,Year,FMELX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,12.93,16.0,15.34,-3.07,-2.41,0.91,50.0,75.0
1,2013,36.09,32.39,33.92,3.71,2.17,0.87,65.0,27.0
2,YTD,11.73,13.98,10.79,-2.25,0.94,0.8,51.0,39.0
