,Year,VFORX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,7.48,8.63,6.21,-1.16,1.26,1.26,4.0,32.0
1,2008,-34.53,-22.19,-37.94,-12.34,3.41,3.41,4.0,4.0
2,2009,28.32,21.77,30.9,6.55,-2.58,-2.58,9.0,77.0
3,2010,15.17,12.33,14.37,2.84,0.8,0.8,7.0,35.0
4,2011,-2.55,0.59,-3.49,-3.14,0.95,0.95,15.0,19.0
5,2012,15.56,12.04,14.64,3.52,0.92,0.92,3.0,31.0
6,2013,24.37,14.31,19.97,10.07,4.4,4.4,9.0,15.0
7,YTD,8.19,5.81,6.5,2.39,1.69,1.69,6.0,11.0
