,Year,FJIFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,9.53,12.33,10.68,-2.81,-1.15,0.03,15.0,82.0
1,2011,1.29,0.59,0.91,0.7,0.38,0.06,53.0,35.0
2,2012,7.08,12.04,9.61,-4.96,-2.53,0.09,37.0,88.0
3,2013,6.5,14.31,8.3,-7.8,-1.8,0.09,23.0,77.0
4,YTD,5.26,5.81,4.98,-0.55,0.28,0.08,49.0,39.0
