,Year,FFFLX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,9.63,8.63,5.91,0.99,3.72,0.25,3.0,8.0
1,2008,-42.44,-22.19,-38.67,-20.25,-3.77,0.24,25.0,95.0
2,2009,33.71,21.77,32.02,11.94,1.69,0.25,16.0,28.0
3,2010,16.43,12.33,14.53,4.09,1.89,0.25,15.0,12.0
4,2011,-5.62,0.59,-3.82,-6.21,-1.8,0.25,36.0,80.0
5,2012,14.67,12.04,15.07,2.63,-0.39,0.25,12.0,71.0
6,2013,21.16,14.31,21.02,6.86,0.14,0.25,28.0,67.0
7,YTD,6.59,5.81,6.68,0.78,-0.09,0.25,47.0,57.0
