,Year,PCFIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,26.04,16.0,15.46,10.03,10.58,0.84,227.0,4.0
1,2013,39.73,32.39,37.39,7.34,2.34,0.84,385.0,29.0
2,YTD,3.7,13.98,1.83,-10.27,1.88,0.84,378.0,31.0
