,Year,FRNAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-24.21,-22.19,-18.06,-2.02,-6.15,0.25,41.0,84.0
1,2009,23.55,21.77,18.36,1.78,5.19,0.25,64.0,27.0
2,2010,11.36,12.33,8.94,-0.97,2.43,0.25,34.0,28.0
3,2011,-0.25,0.59,1.6,-0.85,-1.85,0.25,26.0,69.0
4,2012,10.27,12.04,9.01,-1.78,1.26,0.25,65.0,28.0
5,2013,12.55,14.31,7.36,-1.75,5.19,0.25,49.0,21.0
6,YTD,5.67,5.81,5.03,-0.14,0.64,0.25,30.0,34.0
