,Year,FSOPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,,177.0,177.0
1,2008,-39.3,-37.0,-36.56,-2.3,-2.74,0.92,179.0,77.0
2,2009,46.51,26.46,31.8,20.05,14.71,0.93,167.0,11.0
3,2010,32.91,15.06,25.61,17.85,7.3,1.01,104.0,6.0
4,2011,-2.9,2.11,-4.07,-5.01,1.17,1.09,73.0,45.0
5,2012,11.89,16.0,15.46,-4.11,-3.57,1.11,66.0,84.0
6,2013,35.51,32.39,37.39,3.13,-1.88,0.96,77.0,69.0
7,YTD,0.4,13.98,1.83,-13.57,-1.43,0.82,90.0,72.0
