,Year,FEJPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,11.5,14.31,9.65,-2.81,1.85,0.09,1.0,38.0
1,YTD,5.81,5.81,5.38,0.01,0.43,0.1,38.0,37.0
