,Year,FREDX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,18.41,15.83,17.6,2.58,0.81,0.81,40.0,96.0
1,2013,1.89,26.68,1.55,-24.78,0.34,0.78,48.0,40.0
2,YTD,27.95,6.66,25.93,21.29,2.02,0.76,69.0,28.0
