,Year,BDSAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,,,,,,0.95,67.0,67.0
1,YTD,2.47,13.98,1.83,-11.5,0.65,0.95,145.0,47.0
