,Year,FSRNX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,17.11,15.83,17.6,1.29,-0.49,0.15,67.0,40.0
1,2013,1.37,26.68,1.55,-25.31,-0.19,0.07,44.0,57.0
2,YTD,29.26,6.66,25.93,22.61,3.33,0.07,14.0,6.0
