,Year,LIRIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.18,0.18,0.18
1,2012,9.16,12.04,9.01,-2.89,0.15,0.16,1.0,48.0
2,2013,7.68,14.31,7.36,-6.63,0.31,0.18,18.0,39.0
3,YTD,6.25,5.81,5.03,0.45,1.22,1.22,1.22,19.0
