,Year,CCIYX_Returns,Morningstar Long-Only Commodity TR,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,3.55,3.66,-0.79,-0.11,4.34,0.7,0.7,22.0
1,2013,-10.83,-3.75,-9.08,-7.08,-1.75,0.7,0.7,67.0
2,YTD,-13.34,-15.33,-11.72,1.99,-1.62,0.77,0.77,72.0
