,Year,PFATX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.89,151.0,151.0
1,2009,16.51,5.93,-1.18,10.58,17.69,0.89,621.0,29.0
2,2010,10.64,6.54,-2.0,4.1,12.64,0.89,301.0,8.0
3,2011,-0.54,7.84,-0.3,-8.38,-0.24,0.89,512.0,98.0
4,2012,10.77,4.21,0.18,6.56,10.59,0.89,629.0,9.0
5,2013,3.57,-2.02,2.92,5.59,0.65,0.89,321.0,41.0
6,YTD,-0.17,5.87,0.85,-6.04,-1.02,0.89,262.0,59.0
