,Year,FEZPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,20.85,14.31,22.0,6.54,-1.15,0.1,1.0,75.0
1,YTD,6.88,5.81,6.65,1.07,0.23,0.1,38.0,45.0
