,Year,FSTSX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,21.8,11.15,23.04,10.65,-1.23,1.18,21.0,56.0
1,2011,-10.4,-13.71,-14.72,3.31,4.32,1.13,22.0,19.0
2,2012,22.95,16.83,22.2,6.12,0.75,1.22,25.0,38.0
3,2013,24.65,15.29,26.61,9.36,-1.96,1.22,29.0,58.0
4,YTD,-2.26,-0.27,-3.86,-1.98,1.6,1.6,1.6,40.0
