,Year,AAATX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.37,8.0,8.0
1,2008,-27.45,-22.19,-22.46,-5.26,-4.99,0.33,12.0,75.0
2,2009,23.34,21.77,22.42,1.57,0.92,0.32,5.0,47.0
3,2010,9.5,12.33,10.68,-2.84,-1.18,0.4,21.0,82.0
4,2011,3.36,0.59,0.91,2.76,2.45,0.39,19.0,10.0
5,2012,10.14,12.04,9.61,-1.9,0.54,0.39,10.0,44.0
6,2013,12.18,14.31,8.3,-2.13,3.88,0.38,18.0,2.0
7,YTD,7.4,5.81,4.98,1.59,2.42,2.42,2.42,3.0
