,Year,BAPCX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.58,39.0,39.0
1,2008,-28.3,-22.19,-29.46,-6.11,1.16,0.43,55.0,31.0
2,2009,25.92,21.77,24.25,4.14,1.67,0.55,44.0,49.0
3,2010,13.1,12.33,12.27,0.76,0.83,0.55,106.0,37.0
4,2011,-0.3,0.59,-0.22,-0.9,-0.09,0.68,138.0,46.0
5,2012,12.78,12.04,11.68,0.74,1.1,0.72,68.0,29.0
6,2013,12.96,14.31,11.57,-1.34,1.4,0.54,91.0,44.0
7,YTD,5.05,5.81,5.64,-0.76,-0.6,-0.6,-0.6,72.0
