,Year,FRKAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-20.29,-22.19,-18.06,1.9,-2.23,0.25,46.0,58.0
1,2009,20.33,21.77,18.36,-1.45,1.96,0.25,51.0,54.0
2,2010,9.58,12.33,8.94,-2.76,0.64,0.25,24.0,61.0
3,2011,1.2,0.59,1.6,0.61,-0.4,0.25,39.0,53.0
4,2012,7.45,12.04,9.01,-4.59,-1.56,0.25,44.0,74.0
5,2013,6.19,14.31,7.36,-8.12,-1.17,0.25,41.0,53.0
6,YTD,3.79,5.81,5.03,-2.02,-1.24,0.25,56.0,86.0
