,Year,RARAX_Returns,BofAML USD LIBOR 3 Mon CM,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,1.37,12.0,12.0
1,2007,6.02,5.64,5.5,0.37,0.51,1.36,36.0,13.0
2,2008,1.07,3.82,-2.38,-2.75,3.45,1.39,39.0,25.0
3,2009,0.91,0.99,-1.73,-0.09,2.64,1.38,16.0,98.0
4,2010,0.5,0.33,-0.02,0.17,0.52,1.47,1.47,39.0
5,2011,0.5,0.27,-3.33,0.23,3.83,1.73,1.73,9.0
6,2012,1.82,0.51,3.34,1.31,-1.52,1.42,1.42,62.0
7,2013,-7.87,0.29,-3.28,-8.15,-4.59,1.48,1.48,94.0
8,YTD,3.78,0.22,-0.77,3.56,4.56,4.56,4.56,14.0
