,Year,PTXAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,1.15,2.38,2.22,-1.23,-1.07,0.85,447.0,84.0
1,2011,6.97,10.7,9.0,-3.73,-2.03,0.85,350.0,90.0
2,2012,4.68,6.78,5.62,-2.1,-0.95,0.85,70.0,66.0
3,2013,-4.59,-2.55,-2.27,-2.04,-2.32,0.85,35.0,97.0
4,YTD,0.73,8.5,6.44,-7.77,-5.71,0.85,17.0,99.0
