,Year,FLILX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,-1.59,15.29,-0.14,-16.88,-1.45,0.1,8.0,50.0
1,YTD,3.52,-0.27,1.96,3.79,1.55,0.1,10.0,29.0
