,Year,BLSAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,7.25,4.21,0.18,3.04,7.07,2.0,2.0,1.0
1,2013,-1.3,-2.02,2.92,0.72,-4.23,1.95,1.95,85.0
2,YTD,-1.05,5.87,0.85,-6.92,-1.9,1.94,1.94,69.0
