,Year,FPIOX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-27.56,5.24,-26.41,-32.8,-1.15,-1.15,10.0,68.0
1,2009,55.29,5.93,46.7,49.36,8.59,8.59,6.0,17.0
2,2010,15.32,6.54,14.24,8.78,1.08,1.08,32.0,24.0
3,2011,2.02,7.84,2.83,-5.82,-0.81,0.01,2.0,72.0
4,2012,15.23,4.21,14.67,11.02,0.56,0.02,2.0,38.0
5,2013,8.06,-2.02,6.9,10.08,1.16,0.02,27.0,23.0
6,YTD,3.63,5.87,2.83,-2.23,0.81,0.02,12.0,30.0
